Year,Month,Day,Date,Site,start_time,end_time,Species,n,Family,Notes,lat,lon
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Papilio zelicaon,2,Papilionoidea,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Phoebis sennae,2,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Pieris rapae,10,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Pontia beckeri,5,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Pyrgus albsecens,6,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Strymon melinus,6,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Vanessa cardui,3,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,May,23,2015-05-23,Big Sycamore Cyn,8:20,9:45,acmon/lupini,35,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,May,23,2015-05-23,Big Sycamore Cyn,8:20,9:45,Brephidium exile,15,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,May,23,2015-05-23,Big Sycamore Cyn,8:20,9:45,Colias eurytheme,2,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,May,23,2015-05-23,Big Sycamore Cyn,8:20,9:45,Erynnis funeralis,1,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,May,23,2015-05-23,Big Sycamore Cyn,8:20,9:45,Heliopetes ericetorum,12,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,May,23,2015-05-23,Big Sycamore Cyn,8:20,9:45,Pieris rapae,17,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,May,23,2015-05-23,Big Sycamore Cyn,8:20,9:45,Pontia beckeri,1,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,May,23,2015-05-23,Big Sycamore Cyn,8:20,9:45,Pyrgus albsecens,3,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,acmon/lupini,40,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Adelpha californica,3,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Brephidium exile,15,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Colias eurytheme,3,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Erynnis funeralis,2,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Heliopetes ericetorum,30,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Junonia coenia,2,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Leptotes marina,5,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Nathalis iole,3,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Papilio rutulus,2,Papilionoidea,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Papilio zelicaon,1,Papilionoidea,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Phoebis sennae,1,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Pieris rapae,30,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Pontia beckeri,10,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Pontia protodice,10,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Pyrgus albsecens,5,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Strymon melinus,2,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,June,15,2015-06-15,Big Sycamore Cyn,11:55,13:40,Vanessa cardui,1,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,acmon/lupini,5,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Adelpha californica,3,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Brephidium exile,3,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Coenonympha tullia,2,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Danaus plexippus,1,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Erynnis funeralis,4,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Heliopetes ericetorum,25,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Papilio rutulus,2,Papilionoidea,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Phoebis sennae,1,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Pieris rapae,14,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Poanes melane,2,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Pontia protodice,5,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,July,10,2015-07-10,Big Sycamore Cyn,10:35,11:50,Pyrgus albsecens,5,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,July,31,2015-07-31,Big Sycamore Cyn,12:55,14:25,acmon/lupini,5,NA,NA,34.07977740135135,-119.01279468175676
2015,July,31,2015-07-31,Big Sycamore Cyn,12:55,14:25,Adelpha californica,1,NA,NA,34.07977740135135,-119.01279468175676
2015,July,31,2015-07-31,Big Sycamore Cyn,12:55,14:25,Brephidium exile,3,NA,NA,34.07977740135135,-119.01279468175676
2015,July,31,2015-07-31,Big Sycamore Cyn,12:55,14:25,Heliopetes ericetorum,12,NA,NA,34.07977740135135,-119.01279468175676
2015,July,31,2015-07-31,Big Sycamore Cyn,12:55,14:25,Leptotes marina,5,NA,NA,34.07977740135135,-119.01279468175676
2015,July,31,2015-07-31,Big Sycamore Cyn,12:55,14:25,Papilio rutulus,3,NA,NA,34.07977740135135,-119.01279468175676
2015,July,31,2015-07-31,Big Sycamore Cyn,12:55,14:25,Phoebis sennae,2,NA,NA,34.07977740135135,-119.01279468175676
2015,July,31,2015-07-31,Big Sycamore Cyn,12:55,14:25,Pieris rapae,30,NA,NA,34.07977740135135,-119.01279468175676
2015,July,31,2015-07-31,Big Sycamore Cyn,12:55,14:25,Pyrgus albsecens,3,NA,NA,34.07977740135135,-119.01279468175676
2015,July,31,2015-07-31,Big Sycamore Cyn,12:55,14:25,Strymon melinus,4,NA,NA,34.07977740135135,-119.01279468175676
2014,September,6,2014-09-06,Castro Crest,9:05,11:10,Adelpha californica,4,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2014,September,6,2014-09-06,Castro Crest,9:05,11:10,Atalopodes campestris,5,Hesperiidae,Not 100% sure on this ID,34.084699111624325,-118.76902113010007
2014,September,6,2014-09-06,Castro Crest,9:05,11:10,Ochlodes sylvanoides,15,Hesperiidae,on small yellow comp and on purple aster,34.084699111624325,-118.76902113010007
2014,October,26,2014-10-26,Castro Crest,12:25,13:10,"NA","NA","NA",NA,34.084699111624325,-118.76902113010007
2015,February,6,2015-02-06,Castro Crest,13:40,15:05,Adelpha californica,1,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,February,6,2015-02-06,Castro Crest,13:40,15:05,Papilio eurymedon,1,Papilionoidea,NA,34.084699111624325,-118.76902113010007
2015,February,6,2015-02-06,Castro Crest,13:40,15:05,Vanessa cardui,2,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,March,6,2015-03-06,Castro Crest,9:30,10:35,Adelpha californica,6,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,March,6,2015-03-06,Castro Crest,9:30,10:35,Apodemia virgulti,3,Riodinidae,NA,34.084699111624325,-118.76902113010007
